Ocean Transportation Intermediaries (OTI) List,
Federal Maritime Commission,
Org. No.,Lic. No.,Renewal,Name,Principal Address,Trade Name(s),Street Address 1,Street Address 2,City,State,Zip Code \ Postal Code,Country,Phone,Latitude,Longitude
023627,023627,7/31/2023 12:00:00 AM,"APECS LOGISTICS, INC.","7151 LINCOLN AVENUE SUITE F BUENA PARK, CA 90620 UNITED STATES",SMART LOGISTICS NETWORKS,7151 LINCOLN AVENUE,SUITE F,BUENA PARK,CA,90620,UNITED STATES,(714) 220-1125,33.83255,-118.0081
019449,019449,9/30/2024 12:00:00 AM,APEX LOGISTICS INTERNATIONAL INC.,"18554 S. SUSANA ROAD RANCHO DOMINGUEZ, CA 90221 UNITED STATES",N/A,18554 S. SUSANA ROAD,,RANCHO DOMINGUEZ,CA,90221,UNITED STATES,(310) 665-2218,33.87292,-118.2077
008937,003338,8/31/2023 12:00:00 AM,"APEX MARITIME CO., INC.","577 AIRPORT BLVD SUITE 800 BURLINGAME, CA 94010 UNITED STATES","APEX SHIPPING COMPANY, KERRY APEX (SFO)",577 AIRPORT BLVD,SUITE 800,BURLINGAME,CA,94010,UNITED STATES,(650) 589-2575,37.64637,-122.3988
028545,028545,5/31/2024 12:00:00 AM,"AQUAFAUNA BIO-MARINE, INC.","4643 W. ROSECRANS AVE HAWTHORNE, CA 90250 UNITED STATES",N/A,4643 W. ROSECRANS AVE,,HAWTHORNE,CA,90250,UNITED STATES,(310) 418-9791,33.91322,-118.347
018046,018046,6/30/2024 12:00:00 AM,"ARC AIR LOGISTICS, INC.","1950 EAST 220TH STREET SUITE 201 LONG BEACH, CA 90810 UNITED STATES",N/A,1950 EAST 220TH STREET,SUITE 201,LONG BEACH,CA,90810,UNITED STATES,(310) 549-3778,33.81099,-118.215
025176,025176,6/30/2025 12:00:00 AM,"ARCA WORLD LOGISTICS, LLC","111 W. OCEAN BLVD STE 400 LONG BEACH, CA 90802 UNITED STATES",N/A,111 W. OCEAN BLVD,STE 400,LONG BEACH,CA,90802,UNITED STATES,5623437600,33.77055,-118.182
030395,030395,5/31/2025 12:00:00 AM,ARCH GLOBAL LOGISTICS USA LLC,"10737 PALM BLVD UNIT 1 LOS ANGELES, CA 90034 UNITED STATES",N/A,10737 PALM BLVD,UNIT 1,LOS ANGELES,CA,90034,UNITED STATES,(310) 766-8799,34.02898,-118.4005
025547,025547,7/31/2024 12:00:00 AM,ARES INTERNATIONAL LOGISTICS INC.,"731 S. GARFIELD AVENUE SUITE 2B ALHAMBRA, CA 91801 UNITED STATES",N/A,731 S. GARFIELD AVENUE,SUITE 2B,ALHAMBRA,CA,91801,UNITED STATES,(626) 281-9666,34.09143,-118.1293
030472,028205,5/31/2025 12:00:00 AM,ARK GLOBAL LOGISTICS INC,"17326 EDWARDS ROAD STE A207 CERRITOS, CA 90703 UNITED STATES",N/A,17326 EDWARDS ROAD,STE A207,CERRITOS,CA,90703,UNITED STATES,(858) 925-3359,33.85833,-118.0639
014359,004224,4/30/2023 12:00:00 AM,ASCEND SHIPPING SERVICES,"1799 BAYSHORE HIGHWAY SUITE 127 BURLINGAME, CA 94010 UNITED STATES",N/A,1799 BAYSHORE HIGHWAY,SUITE 127,BURLINGAME,CA,94010,UNITED STATES,(650) 692-5698,37.59709,-122.3666
